Country,2012,2013,2014,2015,2016,2017,2018,2019,2020
Suriname,4.3,0.6,3.9,25.1,52.4,9.296,5.441,4.215,60.739
Sweden,0.973,0.253,0.309,0.851,1.412,1.776,2.215,1.714,0.316
Switzerland,-0.434,0.082,-0.308,-1.276,0.014,0.859,0.687,0.147,-0.837
Syria,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Taiwan Province of China,1.613,0.338,0.602,0.132,1.693,1.216,-0.059,1.143,0.049
Tajikistan,6.444,3.707,7.381,5.082,6.067,6.658,5.383,8.047,9.427
Tanzania,12.062,5.561,4.752,6.828,5.049,3.961,3.25,3.85,3.154
Thailand,3.622,1.674,0.597,-0.859,1.125,0.776,0.354,0.878,-0.27
Timor-Leste,9.202,4.034,0.306,-0.61,0,0.614,2.136,0.299,1.192
Togo,2.909,-0.504,1.831,1.624,0.438,-0.68,1.989,-0.329,3.537
Tonga,2.301,0.187,1.497,0.184,0.214,9.792,6.689,-0.122,-1.403
Trinidad and Tobago,7.178,5.675,8.378,1.586,3.122,1.325,1.027,0.37,0.829
Tunisia,5.373,5.225,4.444,3.819,4.217,6.154,7.493,6.078,4.881
Trkiye,6.164,7.4,8.17,8.808,8.533,11.92,20.302,11.836,14.599
Turkmenistan,7.832,4.002,4.418,6.005,6.168,10.419,7.2,6.267,8.9
Tuvalu,1.35,3.124,0.426,4.001,2.57,4.345,2.327,3.703,0.081
Uganda,5.243,6.739,1.794,6.448,5.649,3.006,2.321,2.372,2.458
Ukraine,-0.202,0.496,24.87,43.313,12.361,13.669,9.777,4.054,4.992
United Arab Emirates,0.601,1.443,3.108,3.596,1.617,1.967,3.069,-1.931,-2.079
United Kingdom,2.677,2.034,0.547,0.202,1.559,2.973,2.104,1.302,0.589
United States,1.822,1.319,0.524,0.695,2.197,2.165,1.911,2.059,1.549
Uruguay,7.477,8.525,8.258,9.436,8.103,6.552,7.96,8.788,9.413
Uzbekistan,10.813,10.804,9.237,8.427,9.801,18.782,14.265,15.189,11.167
Vanuatu,0.798,1.511,1.063,1.473,2.142,3.315,1.899,3.47,6.584
Venezuela,20.068,56.193,68.54,180.87,274.354,862.629,"130,060.24","9,585.49","2,959.84"
Vietnam,6.816,6.036,1.839,0.597,4.737,2.597,2.983,5.237,0.187
West Bank and Gaza,1.726,2.706,1.196,0.961,-1.041,-0.02,0.321,1.269,0.069
Yemen,5.806,8.14,10.005,34,11.9,47,14.3,10,35
Zambia,7.328,7.14,7.862,21.112,7.469,6.085,7.9,11.719,19.231
Zimbabwe,2.914,0.331,-0.796,-2.473,-0.898,3.43,42.074,521.15,348.586
