Country,2012,2013,2014,2015,2016,2017,2018,2019,2020
Niger,-0.604,-1.704,-5.825,-6.283,-3.78,-3.392,-2.053,-2.572,-4.293
Nigeria,0.845,-1.675,-1.459,-2.67,-3.363,-4.06,-2.621,-3.013,-3.464
North Macedonia,-2.904,-2.918,-3.23,-2.32,-1.557,-1.373,-0.59,-0.797,-6.988
Norway,11.943,8.764,6.347,3.457,1.54,2.586,5.711,4.495,-4.853
Oman,2.928,2.249,-1.866,-14.075,-20.013,-11.089,-5.214,-4.634,-13.333
Pakistan,-3.728,-3.502,-0.259,-0.447,-0.063,-1.379,-1.846,-3.015,-1.52
Palau,,,,,,,,,
Panama,-0.104,-0.472,-1.509,-0.801,-0.341,-0.539,-1.474,-1.753,-8.027
Papua New Guinea,-0.171,-5.778,-4.632,-2.819,-2.827,-0.372,-0.247,-1.892,-6.027
Paraguay,-0.76,-0.497,0.07,-0.99,0.493,0.11,-0.44,-2.498,-5.746
Peru,2.964,1.685,0.693,-1.209,-1.308,-1.911,-0.854,-0.181,-6.918
Philippines,2.217,2.556,2.98,2.549,1.403,1.256,0.111,-0.069,-3.91
Poland,-1.113,-1.696,-1.68,-0.838,-0.679,0.079,1.197,0.633,-5.609
Portugal,-1.903,-0.929,-2.957,-0.125,1.949,0.652,2.874,2.933,-3.075
Puerto Rico,n/a,n/a,-0.953,-0.24,0.378,1.181,2.196,4.027,1.545
Qatar,11.975,22.835,16.577,23.201,-3.334,-1.092,7.391,6.623,3.658
Romania,-0.852,-0.92,-0.622,-0.253,-1.238,-1.893,-1.603,-3.788,-8.483
Russia,0.655,-0.825,-0.677,-3.136,-3.235,-0.96,3.425,2.2,-3.755
Rwanda,-1.976,-0.432,-3.147,-1.845,-1.304,-1.481,-1.396,-3.792,-7.915
Samoa,,,,,,,,,
San Marino,-6.998,-7.643,1.292,-3.075,0.145,-3.194,-1.232,0.237,-36.64
So Tom and Prncipe,-10.602,2.404,-4.63,-5.487,-3.797,-2.161,-1.489,0.631,6.262
Saudi Arabia,11.723,5.17,-4.248,-17.858,-17.065,-11.698,-6.26,-4.419,-13.029
Senegal,-2.991,-3.124,-2.556,-2.144,-1.609,-1.051,-1.669,-1.939,-4.351
Serbia,-4.57,-2.699,-3.085,-0.37,1.787,3.916,2.953,2.005,-5.238
Seychelles,6.595,5.299,5.837,4.804,3.76,3.385,1.976,3.164,-13.738
Sierra Leone,-3.412,-0.977,-2.627,-3.739,-7.629,-6.59,-2.793,-0.441,-2.732
Singapore,,,,,,,,,
Slovak Republic,-2.775,-1.185,-1.421,-1.181,-1.162,0.234,0.148,-0.231,-4.445
Slovenia,-2.567,-12.591,-2.702,,0.717,2.123,2.538,1.913,-6.511
Solomon Islands,3.493,3.797,1.957,0.383,-3.418,-1.469,1.387,-1.178,-2.242
Somalia,n/a,-0.145,-0.071,0.31,0.615,0.551,0.041,0.368,0.385
South Africa,-1.594,-1.249,-1.156,-1.44,-0.617,-0.762,-0.354,-1.136,-5.589
South Sudan,-14.036,-2.88,-8.398,-16.302,-19.042,3.524,-0.101,1.079,3.712
Spain,-9.005,-4.549,-3.11,-2.699,-1.9,-0.857,-0.402,-1.009,-8.215
Sri Lanka,-0.895,-0.537,-1.942,-2.081,-0.23,0.014,0.596,-1.854,-5.872
St. Kitts and Nevis,9.604,14.413,10.966,7.574,5.322,1.932,2.499,0.49,-1.5
St. Lucia,-4.722,-1.693,0.063,0.836,1.743,0.777,1.931,-0.508,-7.966
St. Vincent and the Grenadines,-0.123,-3.84,-1.442,-0.215,2.246,1.407,1.057,-0.778,-3.536
Sudan,-6.221,-5.272,-3.881,-3.159,-3.508,-5.603,-7.689,-10.626,-5.907
Suriname,-1.063,-2.092,-3.867,-6.135,-6.844,-4.582,-2.465,-18.986,-8.445
Sweden,-0.849,-1.231,-1.4,0.035,1.004,1.375,0.786,0.493,-2.905
Switzerland,0.604,-0.175,-0.009,0.778,0.415,1.275,1.379,1.394,-2.957
Syria,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Taiwan Province of China,,,,,,,,,
Tajikistan,1.15,0.078,1.412,-1.466,-8.293,-5.22,-1.612,-1.215,-3.416
Tanzania,-3.032,-2.564,-1.557,-1.713,-0.606,0.402,-0.227,-0.297,-0.878
Thailand,,1.267,-0.061,0.713,0.971,0.077,0.622,-0.277,-4.244
Timor-Leste,-38.689,-14.367,-37.528,-33.119,-55.406,-33.061,-26.299,-25.081,-21.397
Togo,-4.105,-4.315,-6.07,-5.155,-5.311,1.101,1.197,3.643,-4.579
Tonga,-0.761,-0.389,7.293,-1.904,2.316,4.391,3.697,3.854,6.113
Trinidad and Tobago,0.411,-1.233,-2.854,-5.795,-7.968,-7.959,-2.975,-0.563,-8.179
Tunisia,-3.183,-5.263,-1.339,-3.117,-3.784,-3.393,-1.785,-1.011,-5.929
Trkiye,0.663,0.814,0.536,0.583,-0.975,-0.865,-2.269,-2.866,-3.217
Turkmenistan,,,,,,,,,
Tuvalu,7.584,25.751,-3.912,1.975,22.629,-1.513,28.341,-8.045,2.49
Uganda,-1.371,-2.125,-1.53,-1.085,-0.575,-1.495,-1.228,-2.713,-5.223
Ukraine,-2.385,-2.334,-1.153,3.003,1.867,1.451,1.36,1.109,-3.024
United Arab Emirates,9.32,8.807,2.214,-3.1,-2.668,-1.544,1.418,0.745,-4.901
United Kingdom,-5.29,-4.138,-3.707,-3.052,-1.741,-0.586,-0.527,-0.849,-11.728
